//One step checkout Module
//font end
"Already registered? Click here to login.", "J&aacute; &eacute; cadastrado? Clique aqui e fa&ccedil;a o login"
"Billing address", "Endere&ccedil;o de cobran&ccedil;a"
"Shipping address","Endere&ccedil;o de entrega"
"Shipping method", "Forma de envio"
"Payment method", "Forma de pagamento"
"Review your order", "Confira seu pedido"
"Create an account for later use", "Criar uma conta para uso futuro"
"Ship to same address", "Enviar para o mesmo endere&ccedil;o"
"ship to same address","enviar para o mesmo endere&ccedil;o"
"Are you sure you would like to remove this item from the shopping cart?","Remover este item do seu carrinho de compras?"
"Comments", "Coment&aacute;rios"
"Input your email and password here", "Digite seu email e senha aqui"
"Please login with your email address and password..", "Por favor fa&ccedil;a o login com seu email e senha"
"Loading...", "Carregando..."
"Invalid email or password!", "Email ou senha inv&aacute;lidos!"
"Invalid email!", "Email inv&aacute;lido!"
"Forgotten your password?", "Esqueceu sua senha?"
"Enter your email below and we'll send you a new password by email.", "Digite seu email abaixo e lhe enviaremos uma nova senha para seu email."
"We have now sent you a new password to your email address. Click the link below to return to login.", "Nos enviamos uma nova senha ao seu email. Clique no link abaixo para ir ao login."
"Back to Login", "Retornar ao login"
"Please select a shipping method for your order!", "Por favor escolha uma forma de envio para seu pedido!"
"Please select a payment method for your order!", "Por favor escolha uma forma de pagamento para seu pedido!"
"Delivery Time","Agendamento da entrega"
"As soon as possible","O quanto antes"
"Later","Mais tarde"
"Date:","Dia:"
"Time:","Hora:"
"Time Range","Hor&aacute;rio"
"I accept the","Eu aceito os"
"Terms And Conditions","Termos e Condi&ccedil;&otilde;es"
"Update Shopping Cart","Atualizar carrinho de compras"
"Update Cart","Atualizar carrinho"
//back end
"Customer Order Comment","Coment&aacute;rio do cliente no pedido"
"Delivery Date","Data de entrega"
"Delivery Date:","Data de entrega:"
"Delivery Time:","Hor&aacute;rio da entrega:"
"Customer Comment","Coment&aacute;rio do cliente"
"Enable Onestepcheckout:","Ativar Onestepcheckout:"
"Enable messages to Admin","Ativar mensagens ao Admin"
"Enable gift messages","Ativar mensagens para presente"
"Allow Quick Login","Permitir login expresso"
"Default Country","Pa&iacute;s padr&atilde;o"
"Default Shipping Method","Forma de envio padr&atilde;o"
"Default Payment Method","Forma de pagamento padr&atilde;o"
